,Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
319,Company320,Success,2005,9,1,Analytic database systems,Analytics,Data driven applications,David Cheriton|Anand Rajaraman|Ron Conway|First Round Capital|SV Angel|Sequoia Capital|Cambrian Ventures|Jafco Ventures|Institutional Venture Partners,3,1,Yes,7/1/2005,9/22/2010,30000000,United States,North America,0,4,3,1,6,50,Yes,1,medium,No,Medium,Yes,Yes,No,No,Service,Yes,Both,No,Both,No,Platform,GLOBAL,Linear,No,None,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Online,B2B,Medium,High,Yes,Low,PhD,25,phd,Yes,Yes,Tier_1,500,High,1,1,0,None,4,Many,40,Low,Medium,No,No,Medium,No Info,No,No,No,No,No,No,Low,583509,No,Yes,No,4,Medium,0,6.25,30,Yes,7,14.88333333,Trigger,2 to 5,1.851851852,1.851851852,51.85185185,0,0,9.259259259,1.851851852,0,0,0,0,0,0,0,5
320,Company321,Success,2008,6,0,mobile development tools,Advertising|Analytics,IPHONE APPS,W Media Ventures|First Round Capital|Union Square Ventures|Dave Morgan|Michael Yavonditte|Sharkey Goldstein Capital|Neu Venture Capital,3,1,No,4/1/2008,1/6/2010,560001,United States,North America,6,0,3,1,5,34,No,1,medium,Yes,Medium,Yes,Yes,No,No,Service,No,Public,No,Structured,No,Both,GLOBAL,Linear,No,None,No,No,No,No,No,No,Yes,No,Yes,No,Online,B2C,Medium,High,Yes,Low,Masters,21,ma,No,Yes,Tier_1,500,High,1,0,0,None,0,None,21,High,Low,No,No,Low,No Info,No,No,No,No,No,No,No Info,No Info,Yes,Yes,No,4,High,2,6.8,0.560001,Yes,2,6.833333333,Plateau,0 to 2,3.571428571,2.941176471,39.28571429,14.70588235,0,15.96638655,8.823529412,2.941176471,2.941176471,8.823529412,0,0,0,0,6
322,Company323,Failed,2008,6,2,Peer-to-Peer Student Loans,Education|Analytics|Finance|Social Networking,finance,Josh Mailman|Radcliff Group,4,0,No,1/1/2008,6/19/2009,2500000,United States,North America,2,0,2,1,2,10,Yes,0,low,No,Medium,Yes,Yes,No,Yes,Service,Yes,Public,No,Structured,No,Both,Local,Linear,Yes,None,No,No,No,No,No,No,No,No,No,No,Offline,B2B,Low,High,No,Medium,Bachelors,18,management,Yes,Yes,Tier_1,500,High,0,0,0,None,150,None,25,Low,Low,No,No,Low,No Info,No,No,Yes,No,No,Yes,No Info,5092265,Yes,Yes,No,2,Medium,6,2,2.5,No,20,20,Plateau,0 to 2,11.11111111,16.66666667,0,0,11.11111111,5.555555556,22.22222222,5.555555556,5.555555556,0,0,0,16.66666667,5.555555556,0
324,Company325,Success,2007,7,413,Data Activation System,Analytics|Marketing,Marketing,Battery Ventures|Redpoint Ventures|Hadi Partovi|Ali Partovi|e.ventures|Satya Patel|Redpoint eVentures|Split Rock Partners|GGV Capital ,168,4,No,1/1/2007,1/20/2012,15000000,United States,North America,0,0,1,2,11,200,Yes,0,low,No,Small,Yes,Yes,No,Yes,Product,Yes,Public,No,no,No,none,global,Linear,No,None,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Online,B2B,Medium,High,Yes,Low,Masters,21,TECH,Yes,Yes,Both,500,Medium,0,1,1,Medium,109,None,26,Low,Low,No,No,Low,No Info,No,No,No,No,No,No,No Info,43814,Yes,Yes,No,1,Low,0,33.3,15,Yes,16,11.575,Plateau,0 to 2,11.11111111,0,0,55.55555556,0,11.11111111,16.66666667,5.555555556,0,0,0,0,0,0,3
325,Company326,Success,2005,9,-20,Security Intelligence and Analytics,Security|Analytics,TECHNOLOGY,Canopy Ventures|Allegis Capital|Trident Capital|Canopy Group|Dry Canyon Holdings|Intel Capital|Cross Creek Capital,67,-1,No,1/1/2005,1/30/2012,20000000,United States,North America,0,0,3,1,3,200,Yes,2,medium,No,Small,No,No,No,No,Product,Yes,Both,No,Both,No,Both,global,Linear,No,None,No,No,Yes,Yes,No,No,Yes,No,No,No,Online,B2B,Medium,High,Yes,Low,Masters,21,MBA,No,Yes,Tier_2,500,Medium,1,1,0,None,320,None,12,Medium,Low,No,No,Low,No Info,No,No,No,No,No,No,Low,840553,Yes,Yes,No,1,High,0,25,20,Yes,21,7.911111111,Trigger,2 to 5,9.090909091,0,36.36363636,9.090909091,0,0,18.18181818,9.090909091,18.18181818,0,0,0,0,0,2
327,Company328,Failed,2009,5,-104,Social Media,Advertising|E-Commerce|Analytics|Marketing,MARKETING,New Enterprise Associates|IndoUS Venture Partners|TriplePoint Capital|Jim Clark|Mike Ramsay|Presidio Ventures,20,-5,yes,1/1/2009,2/16/2012,6000000,United States,North America,7,0,2,1,8,50,No Info,2,low,No,Small,Yes,Yes,No,Yes,Service,No,Public,No,Structured,Yes,Both,local,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,No,Online,B2B,Medium,High,Yes,Low,Masters,21,mba,No,No,Both,500,Low,1,1,1,Medium,500,None,25,Low,Low,No,No,Low,No Info,No,No,Yes,No,No,No,No Info,6405946,No,Yes,No,2,Low,0,12.5,6,Not Applicable,8,9.688888889,Plateau,0 to 2,8.333333333,0,47.22222222,2.777777778,0,2.777777778,19.44444444,5.555555556,2.777777778,2.777777778,0,0,5.555555556,2.777777778,10
328,Company329,Success,2009,5,-75,Customer Experience Software,Analytics,analytics,Accel Partners,23,-4,yes,1/1/2009,11/1/2011,11000000,United States,North America,0,0,1,1,7,50,Yes,1,low,No,Small,No,No,No,Yes,Product,No,Public,No,Both,Yes,Both,No Info,No Info,No Info,None,No,No,No,Yes,No,Yes,Yes,No,No,No,Online,B2B,Medium,High,Yes,Low,Masters,21,mba,No,No,Both,500,High,1,1,1,Medium,216,None,14,High,Medium,No,No,Medium,No Info,No,No,Yes,No,No,Yes,Low,20635527,No,Yes,No,2,Low,0,12.5,11,Not Applicable,8,12.61666667,Trough,2 to 5,2.777777778,0,8.333333333,8.333333333,2.777777778,11.11111111,8.333333333,2.777777778,2.777777778,2.777777778,0,0,0,0,1
330,Company331,Success,2008,6,106,Consumer Location Analytics,Analytics,MARKETING,Gabriell Weinberg|David Cancel|Joshua Schachter|Roy Rodenstein|Project 11 Ventures,16,7,No,7/1/2008,7/7/2012,100000,United States,North America,1,4,3,1,3,50,Yes,0,low,No,Small,Yes,Yes,No,No,Service,No,Public,No,Structured,Yes,none,LOCAL,Linear,No,None,No,No,Yes,Yes,No,No,Yes,No,No,No,Online,B2B,Medium,High,No,Low,PhD,25,phd,Yes,Yes,Tier_1,500,High,0,0,0,None,96,None,24,Low,Medium,No,No,Low,No Info,No,No,Yes,No,No,No,Low,1877770,No,Yes,No,1,Medium,0,12.5,0.1,Yes,23,2.626666667,Trigger,5 to 10,2.941176471,0,29.41176471,0,2.941176471,5.882352941,5.882352941,0,0,0,0,0,0,2.941176471,3
331,Company332,Success,2007,7,66,Big Data Capture and Analytics,Analytics,NETWORK OPTIMIZATION,Meakem Becker Venture Capital,6,0,No,4/1/2007,4/27/2012,5000000,United States,North America,0,0,2,0,4,50,No Info,1,low,No,Medium,Yes,Yes,No,Yes,Service,Yes,Both,No,Both,Yes,none,GLOBAL,Linear,No,None,No,No,Yes,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Bachelors,18,NG,Yes,Yes,Tier_2,367,Low,1,1,0,None,2,None,34,High,Medium,No,Yes,Low,No Info,No,No,Yes,Yes,No,Yes,No Info,2871443,No,Yes,No,2,Medium,4,8.3,5,Yes,24,18.7,Trigger,5 to 10,5.555555556,0,38.88888889,0,5.555555556,11.11111111,16.66666667,5.555555556,5.555555556,11.11111111,0,0,0,0,5
333,Company334,Success,2012,2,-6,Predictive Analytics,Advertising|Entertainment|Media|Analytics,TARGETING OPTIMIZE,MassChallenge,1,1,No,4/1/2012,10/23/2012,50000,United States,North America,1,0,1,0,3,10,No Info,1,medium,Yes,Large,Yes,Yes,No,Yes,Service,Yes,Public,No,Both,Yes,none,GLOBAL,Linear,No,None,No,No,Yes,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Bachelors,18,MENG,Yes,Yes,Both,500,Low,1,1,1,Medium,0,None,22,Low,Medium,No,Yes,Low,No Info,No,No,Yes,No,No,Yes,No Info,No Info,No,No,No,1,Low,0,10,0.05,Not Applicable,14,14,Plateau,0 to 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,Company336,Success,2010,4,-497,Check your tracks. Metrics aggregator.,Analytics,big data analytics,Silicon Valley Bank,1,0,No,3/8/2010,7/12/2013,2000000,Germany,Europe,1,0,3,0,3,No Info,No Info,1,medium,No,Small,No,No,No,No,Product,Yes,Public,No,Unstructured,Yes,none,GLOBAL,Non-Linear,No,None,No,No,Yes,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Bachelors,18,mba,Yes,Yes,Both,500,Medium,0,0,0,None,2,None,16,Low,Medium,Yes,No,Medium,No Info,No,No,Yes,No,No,Yes,No Info,1978409,Yes,No,No,3,Medium,12,No Info,2,Not Applicable,38,38,Trigger,2 to 5,8.333333333,4.166666667,52.08333333,4.166666667,4.166666667,0,6.25,4.166666667,6.25,10.41666667,0,0,0,0,2
336,Company337,Success,2006,8,-6,Analytics for SaaS systems,Analytics,entertainment,Sunstone Capital,0,1,No,6/1/2006,1/1/2008,2200000,Denmark,Europe,2,0,1,0,2,10,No Info,1,low,No,Medium,Yes,Yes,No,Yes,Service,Yes,no,No,no,No,Platform,GLOBAL,Non-Linear,No,None,No,No,No,No,No,No,Yes,No,No,Yes,Online,B2C,Medium,High,Yes,Low,Masters,21,msc,Yes,Yes,Both,500,Medium,0,0,0,None,0,None,15,Medium,Medium,Yes,No,Medium,No Info,No,No,No,No,No,No,No Info,17887654,Yes,No,No,4,Medium,10,1.4,2.2,Yes,1,18.61111111,Trigger,5 to 10,12.5,6.25,18.75,6.25,6.25,0,18.75,6.25,6.25,12.5,0,0,0,6.25,1
337,Company338,Failed,2006,8,-18,Metrics for Software Teams,Software Development|Analytics,METRICS,Ambient Sound Investments|Serenda Estonia,1,1,No,1/1/2006,4/24/2008,200000,Estonia,Europe,2,0,2,0,2,10,No,0,low,No,Small,Yes,Yes,No,No,Product,Yes,Private,No,Structured,Yes,none,GLOBAL,Linear,Yes,None,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Online,B2B,Low,Medium,Yes,Low,Bachelors,18,technology,Yes,Yes,Tier_2,No Info,Low,0,0,0,None,177,Many,12,Medium,Low,No,No,Low,No Info,No,No,No,No,No,No,Low,No Info,Yes,No,No,2,Low,0,1.6,0.2,No,24,24,Trigger,5 to 10,7.692307692,0,23.07692308,0,0,0,11.53846154,3.846153846,0,3.846153846,0,0,0,0,5
338,Company339,Success,2008,6,-116,360ÃÂ° mobile analytics,Analytics|Mobile,MARKETING,Veraventure|Koppi Catch,3,1,No,1/1/2008,6/8/2010,2000000,Finland,Europe,1,0,1,0,2,No Info,No,0,medium,No,Small,Yes,Yes,No,No,Product,Yes,Public,No,Both,Yes,none,LOCAL,Linear,Yes,None,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18,phd,Yes,Yes,None,500,High,1,0,0,None,312,None,46,Low,Low,No,No,Medium,No Info,No,No,Yes,No,No,No,No Info,4618433,No,Yes,No,3,Medium,0,No Info,2,Yes,30,30,Trigger,5 to 10,11.11111111,0,11.11111111,27.77777778,0,11.11111111,16.66666667,5.555555556,5.555555556,5.555555556,0,0,0,5.555555556,0
340,Company341,Success,2008,6,75,Social Media Analytics & Engagement,Analytics|Marketing,MARKETING,Eden Ventures|Seedcamp,48,1,yes,1/1/2008,1/30/2009,400000,United Kingdom,Europe,2,0,4,0,5,50,No,0,Nothing,No,Small,Yes,Yes,No,No,Product,Yes,Public,No,Structured,Yes,Both,GLOBAL,Linear,Yes,None,No,No,Yes,Yes,No,No,Yes,No,No,No,Online,B2B,Medium,High,Yes,Medium,Bachelors,18,management,Yes,Yes,Both,500,High,0,0,0,None,327,None,27,Medium,Low,No,No,Low,No Info,No,No,Yes,No,No,Yes,No Info,112920,Yes,No,No,4,Medium,8,10,0.4,Yes,7,2.516666667,Plateau,0 to 2,4.595588235,0,6.25,19.66911765,1.5625,5.882352941,2.941176471,1.5625,2.941176471,4.595588235,0,0,0,0,5
370,Company371,Failed,2012,2,68,Cloud Virtualized DataCenter Analysis,Cloud Computing|Analytics,software ,GCP Capital Partners,14,17,YES,2/10/2012,4/2/2014,1200000,Austria,Europe,0,0,2,0,2,14,No,0,medium,No,Small,Yes,Yes,No,Yes,Product,No,Both,Yes,no,Yes,Platform,global,Linear,Yes,None,No,No,No,No,Yes,No,No,No,No,No,Offline,B2B,Low,High,No,Medium,Masters,21,management,Yes,Yes,Tier_1,500,Medium,0,0,0,None,0,None,25,Low,Low,Yes,No,Medium,No Info,No,No,No,No,No,No,Medium,1869138,No,No,No Info,3,Medium,0,No Info,1.2,Not Applicable,20,20,Trough,2 to 5,0,0,94.11764706,0,0,0,0,0,0,5.882352941,0,0,0,0,8
371,Company372,Success,2010,4,154,Predictive Analytics for Online Media,Media|Analytics,analytics,Lerer Ventures|SV Angel|Kima Ventures|NYC Seed|IA Ventures|SoftBank,5,0,No,3/1/2010,1/26/2012,1700000,United States,North America,4,0,2,0,3,3,No,0,Nothing,No,Small,Yes,No,No,Yes,Product,No,Both,Yes,no,No,Platform,local,Non-Linear,No,None,No,No,No,No,Yes,No,No,No,No,No,Online,B2B,Low,High,No,Low,Bachelors,18,fine arts,Yes,No,None,246,None,0,0,0,None,1,None,25,Low,Low,No,No,Low,No Info,No,No,No,No,No,No,Medium,327029,No,No,No Info,3,Medium,0,No Info,1.7,Not Applicable,12,5,Peak,2 to 5,15.03267974,0,7.843137255,24.18300654,0,27.58169935,10.32679739,4.183006536,2.222222222,6.666666667,0,0,0,1.960784314,6
374,Company375,Failed,2008,6,0,The Bloomberg of Wind,Energy,analytics,James P. Lang|Paul Chernick|Mass Clean Energy Center,3,1,No,7/31/2008,1/1/2010,1025000,United States,North America,0,0,1,0,1,1,No,0,medium,No,Medium,Yes,Yes,No,Yes,Service,No,Both,Yes,Structured,No,Platform,local,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,No,Offline,B2B,Low,High,Yes,Medium,Masters,21,marketing,Yes,No,Tier_1,500,Medium,0,0,0,High,0,None,14,Low,Low,Yes,No,Medium,No Info,No,No,No,No,No,No,Low,15735768,No,No,No Info,4,High,0,No Info,1,Yes,24,20,Trigger,5 to 10,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info
381,Company382,Failed,2011,3,119,"Big Data, Better Health",Healthcare|Analytics|Mobile|Food & Beverages,operation,Khosla Ventures|True Ventures|Romulus Capital|TechStars|Rock Health|James Joaquin|Walt Winshall|Bill Warner|Ty Curry|Kapor Capital|Eniac Ventures|LaunchCapital|Richard Dale,21,5,yes,1/1/2011,11/28/2012,6500000,United States,North America,12,0,4,0,3,26,No,3,Nothing,No,Small,No,No,No,No,Product,No,no,No,no,No,Platform,local,Linear,Yes,None,No,No,No,Yes,No,Yes,Yes,No,No,No,Online,B2B,None,High,No,Low,No Info,No Info,no,No,No,None,500,Medium,0,0,0,None,0,None,21,Medium,High,Yes,No,Low,Average,No,No,No,No,No,No,No Info,480111,No,No,No Info,4,High,0,No Info,6.5,Not Applicable,1,12,Peak,2 to 5,15.28520499,1.960784314,16.28787879,10.04901961,0,25.4456328,12.00980392,4.166666667,1.960784314,8.912655971,0,1.960784314,0,1.960784314,6
382,Company383,Failed,2010,4,169,Real time healthcare market research,Healthcare|Market Research|Mobile,operation,LaunchPad Venture Group|Walnut Venture Associates|Nauta Capital,28,4,yes,10/1/2010,9/5/2012,2200000,United States,North America,0,0,4,0,4,30,No,2,Nothing,No,Medium,Yes,Yes,No,Yes,Product,No,Both,No,no,No,none,local,Linear,Yes,None,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Online,B2B,Low,High,Yes,Medium,Bachelors,18,nursing,No,No,Tier_1,500,Medium,0,0,0,None,0,None,25,Medium,High,Yes,No,Low,No Info,No,No,No,No,No,No,Low,899614,No,Yes,No Info,4,High,0,No Info,2.2,Not Applicable,24,12,Peak,2 to 5,6.197478992,0,1.388888889,36.44957983,2.941176471,12.90849673,18.51073763,0,9.056956116,12.54668534,0,0,0,0,7
383,Company384,Failed,2010,4,516,Salesforce Analytics for SMBs,Human Resources (HR)|Analytics|Marketing|Career / Job Search,operation,Atlas Venture|NextView Ventures|GrandBanks Capital|CommonAngels|Michael McDerment|Dharmesh Shah|Draper Fisher Jurvetson (DFJ)|Salesforce|Bessemer Venture Partners,71,4,yes,11/1/2010,6/4/2013,8000000,United States,North America,6,0,6,7,6,74,No,2,Nothing,Yes,Large,Yes,No,No,Yes,Product,No,no,No,no,No,Platform,global,Linear,No,None,No,No,No,No,No,No,Yes,No,No,Yes,Online,B2B,Medium,High,Yes,Medium,Masters,21,business,Yes,No,Tier_1,500,Medium,1,0,0,None,0,None,0,Medium,High,Yes,No,Medium,Very Good,No,No,No,No,No,No,High,69882,Yes,Yes,No Info,4,High,0,No Info,8,Not Applicable,12,12,Trough,2 to 5,3.921568627,0,5.882352941,5.882352941,1.960784314,3.921568627,5.882352941,1.960784314,0,1.960784314,0,0,0,1.960784314,7
387,Company388,Failed,2010,4,367,World's best data scientists,Software Development|Analytics,analytics,Index Ventures|Khosla Ventures|SV Angel|Yuri Milner|Max Levchin|Hal Varian|Gil Elbaz|Data Collective|Voyager Capital|Naval Ravikant|Founders Den,26,4,yes,4/1/2010,11/2/2011,11000000,United States,North America,0,0,2,0,4,28,No,0,low,No,Medium,No,No,No,No,Service,No,Both,No,Both,No,Platform,global,Non-Linear,No,None,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Online,B2B,Medium,Medium,Yes,Medium,Masters,21,economics,Yes,Yes,Tier_1,500,None,0,0,0,None,2,None,18,Medium,High,No,No,Low,No Info,No,No,No,No,No,No,Medium,37120,Yes,Yes,No Info,4,High,0,No Info,11,Not Applicable,12,12,Trough,2 to 5,0,0,39.28571429,0,0,60.71428571,0,0,0,0,0,0,0,0,1
388,Company389,Failed,2009,5,357, Daa Management Platform,Media,management,Accel Partners|IDG Ventures|The Entrepreneurs' Fund III,39,3,No,12/1/2009,9/21/2011,11000000,United States,North America,0,0,2,2,4,41,No,0,medium,Yes,Large,No,No,No,Yes,Product,No,Both,No,Both,No,Platform,local,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,No,Online,B2B,Low,High,Yes,Low,Masters,21,cs,Yes,No,Tier_2,500,None,0,0,0,None,0,None,21,High,High,No,No,Medium,No Info,No,No,No,No,No,No,No Info,161711,No,No,No Info,4,High,1,No Info,11,Not Applicable,18,12,Trough,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
